status	filename	pages_or_code	german_score_or_type	url
KEPT	baselland_entdeckerland.pdf	13	41	https://www.baselland-tourismus.ch/assets/content/files/BTO-Imagebroschuere-D-Final-Web.pdf
KEPT	safiental_sommerbroschuere_2025.pdf	17	111	https://safiental.ch/uploads/files/sommerbroschuere_safiental_2025_low_final.pdf
KEPT	safiental_wandertipps_2026.pdf	13	61	https://safiental.ch/uploads/files/web-broschuere_wandertipps_26.pdf
KEPT	safiental_unterkunftverzeichnis_2022.pdf	11	32	https://safiental.ch/uploads/files/safiental_unterkunftverzeichnis_2022_final.pdf
REMOVED	surselva_e_bike_guide.pdf	2	37	https://safiental.ch/uploads/files/2017_e_bike_guide_surselva.pdf
REMOVED	safiental_kirchwanderungen_2025.pdf	2	52	https://safiental.ch/uploads/files/flyer_kirchwanderungen_2025_digital.pdf
REMOVED	rheinschlucht_flyer_2026.pdf	2	89	https://safiental.ch/uploads/files/rheinschlucht_flyer_2026_low_final.pdf
REMOVED	chur_stadtplan_de.pdf	2	38	https://www.chur.graubuenden.ch/sites/chur/files/2023-06/stadtplan-de-chur.pdf
REMOVED	chur_bike_und_wandertipps.pdf	2	14	https://www.chur.graubuenden.ch/sites/chur/files/2021-06/Bike-%20und%20Wandertipps.pdf
REMOVED	chur_brambruesch_prospekt_2024_25.pdf	2	32	https://www.chur.graubuenden.ch/sites/chur/files/2024-12/Brambru%CC%88esch_Prospekt_504x443_2024-25_WEB.pdf
KEPT	dreibuendenstein_winter_2025.pdf	5	86	https://www.chur.graubuenden.ch/sites/chur/files/2025-12/Dreibuendenstein_Winter_Prospekt_A5_2025.pdf
REMOVED	tschiertschen_winter_2025_26.pdf	2	39	https://www.chur.graubuenden.ch/sites/chur/files/2025-12/tschiertschen_winter_broschuere_2025-2026.pdf
KEPT	grand_tour_guide.pdf	82	4	https://www.underway.ch/app/download/14481616023/Grand+Tour+Guide+Buch+1.0.pdf
