status	filename	pages_or_code	english_score_or_type	url
KEPT	fsu_interview_guide_2022.pdf	8	26	https://career.fsu.edu/sites/g/files/upcbnu746/files/Interview%20Guide%20-%20Summer%202022%20%28digital%29_0_0.pdf
REMOVED	ku_preparing_for_job_interviews_2025.pdf	20	0	https://career.ku.edu/sites/career/files/documents/Guides/Preparing%20for%20Job%20Interviews%20-%202025.pdf
KEPT	ku_preparing_for_job_interviews_accessible_2025.pdf	21	53	https://career.ku.edu/sites/career/files/documents/Guides/Preparing%20for%20Job%20Interviews%20booklet-2025%20Accessible.pdf
REMOVED	hmc_interview_guide_2025.pdf	3	57	https://www.hmc.edu/career-services/wp-content/uploads/sites/9/2025/03/OCS-Career-Guide-Interview-Guide_FINAL.pdf
KEPT	sjsu_interviewing_guide_2025.pdf	11	64	https://cdn.uconnectlabs.com/wp-content/uploads/sites/255/2025/12/SJSU-Career-Center-Interviewing-Guide_120425.pdf
KEPT	bridgewater_effective_interviewing_guide.pdf	9	26	https://cdn.uconnectlabs.com/wp-content/uploads/sites/293/2024/01/EffectiveInterviewingGuide-1.pdf
REMOVED	suffolk_professional_interviewing_guide.pdf	2	78	https://cdn.uconnectlabs.com/wp-content/uploads/sites/576/2025/05/Professional-Interviewing-Guide.pdf
KEPT	suffolk_interviews_guide.pdf	22	68	https://www.suffolk.edu/-/media/suffolk/documents/career-center/resources-and-tools/interviews-guide---suffolk-career-center.pdf?hash=A89E1460DE437D1AED5D49B0C7C6F56DBCC91437&la=en
KEPT	jefferson_interview_guide_2022.pdf	6	74	https://www.jefferson.edu/content/dam/academic/east-falls/career-services/2022-updated-jefferson-handouts/2022-interview-guide.pdf
KEPT	csuci_interview_handbook_cdae.pdf	15	39	https://www.csuci.edu/careerdevelopment/documents/interview-handbook-cdae.pdf
REMOVED	csuci_interviewing.pdf	18	1	https://www.csuci.edu/careerdevelopment/services/counseling/career-steps/interviewing.pdf
REMOVED	csuci_phone_video_interview_prep.pdf	1	18	https://www.csuci.edu/careerdevelopment/services/counseling/career-steps/phone-video-interview-prep.pdf
REMOVED	csuci_informational_interview_guidelines.pdf	2	36	https://www.csuci.edu/careerdevelopment/services/counseling/career-steps/informational-interview-guidelines.pdf
REMOVED	unm_informational_interviewing.pdf	2	62	https://career.unm.edu/assets/pdfs/informational-interviewing.pdf
KEPT	fhu_preparing_for_job_interviews.pdf	14	36	https://fhu.edu/wp-content/uploads/preparing-for-job-interviews.pdf
